NOMBRE,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
Cam ReddishATL,SF,26,28.8,11.2,3.7,10.1,36.5,1.3,4.8,26.2,2.6,3.2,81.7,4.0,1.3,1.3,0.3,1.3,0,0,9.36
Wendell Carter Jr.CHI/ORL,C,54,25.5,11.2,4.3,8.5,50.3,0.3,0.9,29.4,2.4,3.3,73.2,8.2,1.9,0.6,0.8,1.4,13,0,16.76
Naz ReidMIN,C,70,19.2,11.2,4.3,8.3,52.3,0.9,2.5,35.1,1.6,2.4,69.3,4.6,1.0,0.5,1.1,1.0,1,0,18.27
Enes KanterPOR,C,72,24.4,11.2,4.7,7.8,60.4,0.0,0.1,25.0,1.8,2.3,77.4,11.0,1.2,0.5,0.7,1.1,34,0,22.48
Armoni BrooksHOU,SG,20,26.0,11.2,3.9,9.6,40.6,3.0,7.9,38.2,0.4,0.6,58.3,3.4,1.5,0.6,0.3,1.1,0,0,10.47
Lonnie Walker IVSA,SG,60,25.4,11.2,4.3,10.2,42.0,1.7,4.7,35.5,1.0,1.2,81.4,2.6,1.7,0.5,0.3,1.1,0,0,9.85
Serge IbakaLAC,C,41,23.3,11.1,4.5,8.9,51.0,1.0,2.8,33.9,1.0,1.3,81.1,6.7,1.8,0.2,1.1,1.1,5,0,18.21
Nickeil Alexander-WalkerNO,SG,46,21.9,11.0,4.2,10.0,41.9,1.7,4.8,34.7,1.0,1.4,72.7,3.1,2.2,1.0,0.5,1.5,0,0,12.58
Jeff GreenBKN,PF,68,27.0,11.0,3.8,7.8,49.2,1.5,3.7,41.2,1.8,2.4,77.6,3.9,1.6,0.5,0.4,0.8,0,0,13.01
Blake GriffinBKN/DET,PF,46,25.8,11.0,3.8,8.9,42.3,1.5,4.5,34.1,1.9,2.5,74.4,4.9,3.0,0.7,0.3,1.3,2,0,12.93
Dwayne BaconORL,SG,72,25.7,10.9,4.1,10.1,40.2,0.8,2.9,28.5,2.0,2.4,82.4,3.1,1.3,0.6,0.1,0.6,0,0,9.99
Reggie BullockNY,SF,65,30.0,10.9,3.8,8.6,44.2,2.5,6.1,41.0,0.8,0.8,90.9,3.4,1.5,0.8,0.2,0.7,0,0,11.18
Oshae BrissettIND,SF,21,24.7,10.9,3.5,7.2,48.3,1.6,3.7,42.3,2.4,3.1,76.9,5.5,0.9,0.9,1.0,0.5,5,0,17.23
Patty MillsSA,PG,68,24.8,10.8,3.7,9.0,41.2,2.4,6.3,37.5,1.0,1.1,91.0,1.7,2.4,0.6,0.0,1.0,0,0,11.87
Cameron OliverHOU,F,4,21.8,10.8,4.8,8.3,57.6,1.0,3.3,30.8,0.3,1.0,25.0,5.3,1.3,0.5,1.0,0.8,1,0,17.29
Ty JeromeOKC,SG,33,23.9,10.7,3.9,8.7,44.6,2.2,5.1,42.3,0.8,1.0,76.5,2.8,3.6,0.6,0.2,1.4,0,0,13.44
Reggie JacksonLAC,PG,67,23.0,10.7,3.9,8.7,45.0,1.8,4.2,43.3,1.0,1.2,81.7,2.9,3.1,0.6,0.1,1.1,0,0,14.22
Grayson AllenMEM,SG,50,25.2,10.6,3.5,8.3,41.8,2.1,5.5,39.1,1.6,1.8,86.8,3.2,2.2,0.9,0.2,1.0,0,0,12.83
Justin HolidayIND,SF,72,30.3,10.5,3.6,8.7,41.3,2.4,6.3,38.2,0.9,1.2,78.8,3.6,1.7,1.0,0.6,0.8,0,0,10.47
Donte DiVincenzoMIL,SG,66,27.5,10.4,3.8,9.1,42.0,2.0,5.2,37.9,0.8,1.1,71.8,5.8,3.1,1.1,0.2,1.4,5,0,12.99
Cedi OsmanCLE,SF,59,25.6,10.4,3.7,9.9,37.4,1.7,5.5,30.6,1.3,1.6,80.0,3.4,2.9,0.9,0.2,1.4,2,0,10.34
Mason PlumleeDET,C,56,26.8,10.4,4.2,6.8,61.4,0.0,0.1,0.0,2.0,3.0,66.9,9.3,3.6,0.8,0.9,1.9,16,2,18.7
Brandon ClarkeMEM,PF,59,24.0,10.3,4.3,8.4,51.7,0.3,1.3,26.0,1.3,1.9,69.0,5.6,1.6,1.0,0.9,0.6,3,0,17.37
Delon WrightSAC/DET,SG,63,27.7,10.2,3.8,8.2,46.3,1.0,2.7,37.2,1.6,2.0,80.2,4.3,4.4,1.6,0.5,1.3,3,0,16.29
Monte MorrisDEN,PG,47,25.4,10.2,4.0,8.2,48.1,1.1,2.9,38.1,1.2,1.6,79.5,2.0,3.2,0.7,0.3,0.7,0,0,14.04
Elfrid PaytonNY,PG,63,23.6,10.1,4.3,9.9,43.2,0.4,1.6,28.6,1.2,1.7,68.2,3.4,3.2,0.7,0.1,1.6,0,0,11.8
Theo MaledonOKC,PG,65,27.4,10.1,3.5,9.4,36.8,1.6,4.8,33.5,1.6,2.1,74.8,3.2,3.5,0.9,0.2,2.2,1,0,8.19
Jeremy LambIND,SG,36,21.3,10.1,3.3,7.7,43.5,1.4,3.6,40.6,2.0,2.1,94.7,3.6,1.5,0.9,0.6,0.6,0,0,15.81
Jae CrowderPHX,PF,60,27.5,10.1,3.3,8.2,40.4,2.5,6.3,38.9,1.0,1.3,76.0,4.7,2.1,0.8,0.5,0.9,0,0,11.88
Bryn ForbesMIL,SG,70,19.3,10.0,3.6,7.6,47.3,2.2,4.9,45.2,0.7,0.9,77.0,1.6,0.6,0.3,0.0,0.6,1,0,12.84
Gary HarrisDEN/ORL,SG,39,27.7,9.9,3.5,8.8,40.0,1.2,3.6,34.0,1.6,2.0,82.1,2.0,2.0,0.7,0.3,0.9,0,0,9.18
Dorian Finney-SmithDAL,PF,60,32.0,9.8,3.7,7.8,47.2,2.0,5.0,39.4,0.5,0.7,75.6,5.4,1.7,0.9,0.4,0.8,1,0,12.0
Frank JacksonDET,PG,40,18.5,9.8,3.4,7.3,45.7,1.5,3.8,40.7,1.5,1.9,81.3,2.2,0.9,0.4,0.0,0.9,0,0,13.31
Kentavious Caldwell-PopeLAL,SG,67,28.4,9.7,3.3,7.6,43.1,1.8,4.4,41.0,1.4,1.7,86.6,2.7,1.9,0.9,0.4,1.0,1,0,10.74
Mike MuscalaOKC,C,35,18.4,9.7,3.4,7.6,44.6,1.9,5.3,37.0,0.9,1.0,91.7,3.8,0.8,0.2,0.3,0.6,0,0,14.72
Otto Porter Jr.CHI/ORL,SF,28,21.7,9.7,3.5,8.1,43.2,1.4,3.7,37.5,1.3,1.5,85.7,5.4,2.0,0.6,0.1,0.9,2,0,14.52
Daniel TheisBOS/CHI,C,65,24.6,9.6,3.9,7.2,54.1,0.8,2.3,32.2,1.1,1.7,67.3,5.5,1.7,0.6,0.9,1.0,6,0,15.02
Isaac OkoroCLE,SF,67,32.4,9.6,3.5,8.3,42.0,0.9,3.2,29.0,1.7,2.3,72.6,3.1,1.9,0.9,0.4,1.3,1,0,7.91
Wayne EllingtonDET,SG,46,22.0,9.6,3.2,7.3,44.1,2.5,6.0,42.2,0.6,0.8,80.0,1.8,1.5,0.4,0.2,0.7,0,0,12.27
Cameron JohnsonPHX,SF,60,24.0,9.6,3.4,8.1,42.0,2.0,5.6,34.9,0.8,1.0,84.7,3.3,1.4,0.6,0.3,0.7,0,0,11.83
Eric PaschallGS,F,40,17.4,9.5,3.7,7.5,49.7,0.5,1.4,33.3,1.7,2.4,71.3,3.2,1.3,0.3,0.2,1.1,0,0,13.45
Taurean PrinceCLE/BKN,PF,41,22.1,9.5,3.2,8.0,40.1,1.5,3.8,40.0,1.6,1.9,85.5,3.5,1.9,0.7,0.6,1.1,0,0,12.1
Danny GreenPHI,SF,69,28.0,9.5,3.2,7.9,41.2,2.5,6.3,40.5,0.4,0.6,77.5,3.8,1.7,1.3,0.8,1.0,1,0,12.14
Trevor ArizaOKC/MIA,SF,30,28.0,9.4,3.3,8.0,41.1,1.7,4.8,35.0,1.1,1.5,77.3,4.8,1.8,1.0,0.6,0.7,1,0,11.9
Cody ZellerCHA,C,48,20.9,9.4,3.8,6.8,55.9,0.1,0.6,14.3,1.8,2.5,71.4,6.8,1.8,0.6,0.4,1.1,8,0,18.22
Larry Nance Jr.CLE,PF,35,31.2,9.3,3.7,7.8,47.1,1.2,3.3,36.0,0.9,1.4,61.2,6.7,3.1,1.7,0.5,1.6,5,0,13.22
Kenyon Martin Jr.HOU,F,45,23.7,9.3,3.6,7.1,50.9,0.8,2.1,36.5,1.3,1.9,71.4,5.4,1.1,0.7,0.9,0.8,4,0,14.65
Landry ShametBKN,SG,61,23.0,9.3,3.0,7.5,40.8,2.1,5.5,38.7,1.1,1.3,84.6,1.8,1.6,0.5,0.2,0.8,0,0,10.39
Josh HartNO,SG,47,28.7,9.2,3.2,7.3,43.9,1.3,4.1,32.6,1.5,1.9,77.5,8.0,2.3,0.8,0.3,1.0,7,0,12.18
Patrick WilliamsCHI,PF,71,27.9,9.2,3.6,7.4,48.3,0.8,1.9,39.1,1.3,1.8,72.8,4.6,1.4,0.9,0.6,1.4,3,0,10.53
David NwabaHOU,SF,30,22.6,9.2,3.5,7.3,48.6,0.6,2.1,27.0,1.6,2.3,69.1,3.9,1.0,1.0,0.7,0.6,1,0,14.4
Desmond BaneMEM,SG,68,22.3,9.2,3.4,7.3,46.9,1.7,4.0,43.2,0.6,0.7,81.6,3.1,1.7,0.6,0.2,0.9,0,0,12.23
Furkan KorkmazPHI,SG,55,19.3,9.1,3.1,7.7,40.1,1.8,4.9,37.5,1.1,1.5,73.2,2.1,1.5,0.9,0.2,0.8,0,0,12.8
De'Anthony MeltonMEM,SG,52,20.1,9.1,3.3,7.6,43.8,1.7,4.1,41.2,0.8,1.0,80.4,3.1,2.5,1.2,0.6,1.3,1,0,15.28
Robin LopezWSH,C,71,19.1,9.0,3.8,6.0,63.3,0.1,0.3,27.8,1.4,1.9,72.3,3.8,0.8,0.2,0.6,1.1,3,0,16.79
Ivica ZubacLAC,C,72,22.3,9.0,3.6,5.5,65.2,0.0,0.1,25.0,1.9,2.4,78.9,7.2,1.3,0.3,0.9,1.1,13,0,19.1
Jaylen NowellMIN,SG,42,18.1,9.0,3.4,8.0,42.4,1.2,3.6,33.3,1.1,1.3,81.8,2.3,1.5,0.5,0.3,0.7,0,0,12.41
Talen Horton-TuckerLAL,SG,65,20.1,9.0,3.4,7.5,45.8,0.6,2.0,28.2,1.5,2.0,77.5,2.6,2.8,1.0,0.3,1.6,4,0,12.99
Paul MillsapDEN,PF,56,20.8,9.0,3.4,7.2,47.6,0.9,2.6,34.3,1.3,1.8,72.4,4.7,1.8,0.9,0.6,0.9,2,0,16.46
DeMarcus CousinsLAC/HOU,C,41,17.4,8.9,3.2,7.4,42.6,1.1,3.3,34.8,1.4,2.0,72.8,6.4,1.9,0.8,0.6,1.6,7,0,16.5
Michael Carter-WilliamsORL,PG,31,25.8,8.8,3.4,8.7,38.9,0.5,2.0,24.6,1.6,2.6,61.3,4.5,4.2,0.8,0.5,2.2,0,0,9.51
Bruce BrownBKN,SF,65,22.3,8.8,3.6,6.5,55.6,0.3,0.9,28.8,1.3,1.8,73.5,5.4,1.6,0.9,0.4,0.8,6,0,16.15
Danuel House Jr.HOU,SF,36,25.9,8.8,3.1,7.6,40.4,1.5,4.3,34.6,1.1,1.8,65.1,3.7,1.9,0.6,0.4,1.0,0,0,9.12
Jay ScrubbLAC,SG,4,21.0,8.8,3.5,9.0,38.9,0.5,2.3,22.2,1.3,1.3,100.0,3.5,0.3,1.0,0.0,1.8,0,0,6.36
Dario SaricPHX,PF,50,17.4,8.7,3.1,6.8,44.7,0.9,2.7,34.8,1.7,2.0,84.8,3.8,1.3,0.6,0.1,1.1,0,0,14.4
Terence DavisSAC/TOR,SG,61,17.6,8.7,3.2,7.5,42.8,1.6,4.4,36.7,0.7,0.9,81.8,2.5,1.4,0.7,0.2,1.0,0,0,12.72
Isaiah RobyOKC,C,61,23.4,8.7,3.4,7.0,48.3,0.5,1.8,29.4,1.4,1.9,74.4,5.6,1.8,0.9,0.6,1.9,3,0,11.94
Raul NetoWSH,PG,64,21.9,8.7,3.3,7.0,46.8,1.0,2.6,39.0,1.2,1.3,88.2,2.4,2.3,1.1,0.1,0.8,0,0,13.01
George HillOKC/PHI,G,30,22.4,8.7,3.2,6.6,48.2,1.0,2.7,38.7,1.3,1.7,80.0,2.0,2.4,0.8,0.2,1.0,0,0,13.13
T.J. McConnellIND,PG,69,26.0,8.6,4.0,7.1,55.9,0.2,0.7,31.3,0.5,0.7,68.8,3.7,6.6,1.9,0.3,2.0,5,1,16.98
Moses BrownOKC,C,43,21.4,8.6,3.4,6.2,54.5,0.0,0.0,0.0,1.8,2.9,61.9,8.9,0.2,0.7,1.1,1.0,12,0,18.83
Jakob PoeltlSA,C,69,26.7,8.6,3.8,6.2,61.6,0.0,0.0,0.0,0.9,1.8,50.8,7.9,1.9,0.7,1.8,1.2,15,0,17.53
Ricky RubioMIN,PG,68,26.1,8.6,2.8,7.3,38.8,1.0,3.1,30.8,1.9,2.2,86.7,3.3,6.4,1.4,0.1,1.6,4,0,13.53
Robert CovingtonPOR,PF,70,32.0,8.5,2.9,7.3,40.1,1.9,5.1,37.9,0.7,0.9,80.6,6.7,1.7,1.4,1.2,0.9,6,0,11.19
Svi MykhailiukOKC/DET,SG,66,20.1,8.5,3.2,7.7,41.1,1.6,4.8,33.4,0.6,0.8,76.0,2.5,1.7,0.8,0.2,1.3,0,0,10.47
Cameron PaynePHX,PG,60,18.0,8.4,3.2,6.6,48.4,1.2,2.8,44.0,0.8,0.9,89.3,2.4,3.6,0.6,0.3,1.0,1,0,17.47
James Ennis IIIORL,SF,41,24.0,8.4,2.8,5.9,47.3,1.1,2.5,43.3,1.7,2.1,80.5,4.0,1.5,0.8,0.2,0.9,1,0,12.54
Gabriel DeckOKC,SF,10,21.2,8.4,3.2,6.7,47.8,0.2,1.5,13.3,1.8,2.2,81.8,4.0,2.4,0.8,0.0,0.6,0,0,16.09
Mitchell RobinsonNY,C,31,27.5,8.3,3.7,5.7,65.3,0.0,0.0,0.0,0.8,1.7,49.1,8.1,0.5,1.1,1.5,0.8,5,0,17.7
Luke KennardLAC,SG,63,19.6,8.3,3.1,6.6,47.6,1.6,3.6,44.6,0.4,0.5,83.9,2.6,1.7,0.4,0.1,0.8,1,0,12.72
Cory JosephSAC/DET,PG,63,23.0,8.2,3.2,6.8,46.9,0.7,2.1,34.1,1.1,1.4,81.8,2.5,3.4,1.0,0.3,1.3,2,0,12.52
Sterling BrownHOU,SF,51,24.1,8.2,2.9,6.6,44.8,1.8,4.2,42.3,0.5,0.6,80.6,4.4,1.4,0.7,0.2,0.8,2,0,11.1
Aleksej PokusevskiOKC,PF,45,24.2,8.2,3.1,9.1,34.1,1.3,4.6,28.0,0.7,0.9,73.8,4.7,2.2,0.4,0.9,2.2,1,0,6.18
Hassan WhitesideSAC,C,36,15.2,8.1,3.5,6.2,56.3,0.0,0.0,0.0,1.1,2.2,51.9,6.0,0.6,0.3,1.3,1.1,4,0,19.28
JaMychal GreenDEN,PF,58,19.3,8.1,3.0,6.4,46.3,1.4,3.4,39.9,0.8,1.0,80.7,4.8,0.9,0.4,0.4,0.9,1,0,13.66
Nicolas BatumLAC,PF,67,27.4,8.1,2.9,6.1,46.4,1.6,4.1,40.4,0.7,0.9,82.8,4.7,2.2,1.0,0.6,0.8,1,0,12.89
Robert Williams IIIBOS,C,52,18.9,8.0,3.6,5.0,72.1,0.0,0.0,0.0,0.9,1.4,61.6,6.9,1.8,0.8,1.8,1.0,4,0,25.71
Tyrese MaxeyPHI,PG,61,15.3,8.0,3.2,7.0,46.2,0.5,1.7,30.1,1.0,1.1,87.1,1.7,2.0,0.4,0.2,0.7,0,0,14.56
Mo BambaORL,C,46,15.8,8.0,3.1,6.5,47.2,0.8,2.6,32.2,1.0,1.4,68.2,5.8,0.8,0.3,1.3,0.8,4,0,19.39
Kenrich WilliamsOKC,SF,66,21.6,8.0,3.3,6.2,53.3,0.8,1.8,44.4,0.5,1.0,57.1,4.1,2.3,0.8,0.3,1.2,0,0,13.99
Austin RiversNY/DEN,SG,36,23.5,7.9,2.9,6.8,42.4,1.5,4.1,36.9,0.6,0.9,71.0,2.3,2.3,0.8,0.1,1.0,0,0,9.92
Isaiah StewartDET,C,68,21.4,7.9,3.3,6.0,55.3,0.3,0.9,33.3,0.9,1.4,69.6,6.7,0.9,0.6,1.3,1.0,8,0,16.4
Anfernee SimonsPOR,SG,64,17.3,7.8,2.6,6.3,41.9,1.9,4.4,42.6,0.7,0.9,80.7,2.2,1.4,0.3,0.1,0.7,0,0,12.38
Willy HernangomezNO,C,47,18.0,7.8,3.2,5.7,56.3,0.0,0.2,10.0,1.3,2.0,66.7,7.1,1.1,0.5,0.5,0.7,11,0,19.65
Chuma OkekeORL,PF,45,25.2,7.8,3.0,7.2,41.7,1.1,3.1,34.8,0.7,0.9,75.0,4.0,2.2,1.1,0.5,0.8,0,0,11.78
Payton PritchardBOS,PG,66,19.2,7.7,2.8,6.3,44.0,1.5,3.8,41.1,0.6,0.7,88.9,2.4,1.8,0.6,0.1,0.8,0,0,12.43
Tomas SatoranskyCHI,SG,58,22.5,7.7,2.9,5.7,51.4,0.7,2.0,35.6,1.2,1.4,84.8,2.4,4.7,0.7,0.2,1.7,1,0,13.87
PJ DozierDEN,SG,50,21.8,7.7,3.0,7.1,41.7,0.9,3.0,31.5,0.8,1.3,63.6,3.6,1.8,0.6,0.4,0.9,0,0,10.47
Mike JamesBKN,PG,13,18.2,7.7,2.6,7.1,37.0,0.8,2.4,35.5,1.6,2.1,77.8,2.5,4.2,0.5,0.1,1.5,0,0,11.96
Naji MarshallNO,SF,32,21.9,7.7,2.6,6.5,39.2,0.9,2.6,34.9,1.7,2.3,70.7,4.6,2.8,0.8,0.3,1.2,3,0,11.38
D.J. AugustinMIL/HOU,PG,57,19.8,7.7,2.4,6.0,39.4,1.5,3.8,38.2,1.5,1.6,90.4,1.6,3.3,0.5,0.0,1.1,0,0,12.18
Isaiah ThomasNO,G,3,16.0,7.7,3.0,9.0,33.3,1.0,4.0,25.0,0.7,0.7,100.0,1.3,1.7,0.3,0.0,2.0,0,0,2.5
Ben McLemoreLAL/HOU,SG,53,17.1,7.7,2.5,6.9,37.0,1.8,5.3,34.6,0.7,1.0,73.6,1.9,0.7,0.4,0.2,0.8,0,0,8.57
Tristan ThompsonBOS,C,54,23.8,7.6,3.1,6.0,51.8,0.0,0.1,0.0,1.3,2.2,59.2,8.1,1.2,0.4,0.6,1.1,5,0,14.27
Garrett TempleCHI,SF,56,27.3,7.6,2.8,6.8,41.5,1.2,3.6,33.5,0.7,0.9,80.0,2.9,2.2,0.8,0.5,1.0,0,0,8.28
Steven AdamsNO,C,58,27.7,7.6,3.3,5.3,61.4,0.0,0.1,0.0,1.0,2.3,44.4,8.9,1.9,0.9,0.7,1.3,13,1,15.15
Edmond SumnerIND,PG,53,16.2,7.5,2.8,5.3,52.5,0.7,1.7,39.8,1.3,1.6,81.9,1.8,0.9,0.6,0.2,1.0,0,0,12.72
Patrick BeverleyLAC,PG,37,22.5,7.5,2.5,5.9,42.3,1.5,3.8,39.7,1.0,1.2,80.0,3.2,2.1,0.8,0.8,0.9,0,0,12.0
Malachi FlynnTOR,PG,47,19.7,7.5,2.7,7.2,37.4,1.1,3.6,32.1,1.0,1.2,80.4,2.5,2.9,0.8,0.1,0.9,1,0,10.98
Henry EllensonTOR,PF,2,19.0,7.5,2.5,7.0,35.7,1.0,4.5,22.2,1.5,2.0,75.0,6.0,2.5,0.0,0.0,0.0,0,0,12.87
Jaxson HayesNO,C,60,16.1,7.5,2.9,4.7,62.5,0.1,0.2,42.9,1.6,2.0,77.5,4.3,0.6,0.4,0.6,0.7,0,0,19.14
DeAndre JordanBKN,C,57,21.9,7.5,3.3,4.4,76.3,0.0,0.0,0.0,0.8,1.6,50.0,7.5,1.6,0.3,1.1,1.5,6,0,17.14
JJ RedickNO/DAL,SG,44,16.4,7.4,2.4,6.1,39.7,1.5,4.0,37.1,1.1,1.2,94.2,1.5,1.2,0.3,0.1,0.8,0,0,9.95
Jalen HarrisTOR,SG,13,13.2,7.4,2.8,5.5,50.0,1.3,2.8,47.2,0.5,0.7,77.8,1.4,1.3,0.6,0.0,1.1,0,0,15.29
Jalen McDanielsCHA,PF,47,19.2,7.4,2.8,6.0,46.8,0.7,2.2,33.3,1.0,1.4,70.3,3.6,1.1,0.6,0.4,1.0,2,0,11.46
Louis KingSAC,PF,6,14.2,7.3,2.8,5.7,50.0,0.7,1.8,36.4,1.0,1.0,100.0,3.0,1.5,1.2,0.5,0.7,0,0,21.22
JaVale McGeeCLE/DEN,C,46,14.7,7.3,3.1,6.1,51.1,0.1,0.5,20.8,1.0,1.5,65.7,5.2,0.8,0.4,1.2,1.3,1,0,17.07
James JohnsonNO/DAL,PF,51,20.5,7.2,2.9,6.4,44.6,0.6,2.4,25.8,0.9,1.5,59.2,3.5,1.9,0.8,0.8,1.1,0,0,11.41
